stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
216,0,1,0,0,2.806452,2.866667,3.095238,1.551159,1.333333,1.939167,-0.060344,3.529412,118229,140823
217,1,-1,0,0,2.433333,3,6.470588,0.685203,1.869565,1.943452,-0.579531,7.047619,124517,124517
218,1,-1,0,0,2.366667,3.137931,6.235294,0.333836,2.478261,1.825838,-1.199308,6.142857,124538,124538
219,1,-1,0,0,2.633333,3.827586,6.411765,0.597361,2.521739,2.041905,-0.060731,5.095238,124607,124607
220,1,-1,0,0,2.466667,3.275862,6.764706,1.124411,1.652174,2.195652,0.749448,5.380952,124669,124669
221,1,-1,0,0,2.566667,3.103448,6.529412,0.773044,3.217391,1.773042,-1.477517,5.190476,125172,125172
222,1,-1,0,0,2.233333,3.448276,5.117647,-1.335154,1.652174,2.295568,1.275957,5.142857,128019,128019
223,1,-1,0,0,2.466667,3.482759,3.882353,-3.179828,2,2.270161,1.142078,4.904762,130335,130335
224,1,-1,0,0,3.166667,3.896552,5.705882,-0.456738,1.565217,2.138213,0.446772,4,130985,130985
225,1,-1,0,0,2.633333,3.068966,4.588235,-2.125729,1.913043,1.895785,-0.830719,3.619048,131596,131596
226,1,-1,0,0,1.8,2.862069,6.705882,1.036569,1.521739,2.21217,0.836489,4.809524,132474,132474
227,1,-1,0,0,2.666667,3.034483,6.176471,0.245995,2.086957,2.225577,0.907137,5.095238,133220,133220
228,1,-1,0,0,1.666667,2.241379,4.411765,-2.389254,1.956522,1.97361,-0.420614,4.238095,133428,133428
229,1,-1,0,0,2.766667,3.689655,5.882353,-0.193213,1.73913,2.022388,-0.163576,4.333333,135963,135963
230,1,-1,0,0,3.1,3.827586,6.176471,0.245995,2.217391,2.209596,0.822926,4.142857,138315,138315
231,1,-1,0,1,1.8,2.275862,4.941176,-1.598679,1.608696,2.035434,-0.094829,4.666667,148538,148538
232,1,-1,0,0,2.033333,3.137931,6.647059,0.948728,2.304348,2.1861,0.699113,5.428571,148739,148739
233,1,-1,0,0,2.833333,3.827586,7.235294,1.827144,2.608696,2.288128,1.236754,5.380952,180399,180399
234,1,-1,1,0,3.166667,3.931034,6.352941,0.50952,2.304348,2.039157,-0.075211,5.380952,192202,192202
235,1,-1,1,0,2.6,3.37931,5.411765,-0.895946,1.652174,2.00303,-0.265582,6.238095,200047,200047
236,1,-1,0,0,1.766667,2.241379,4.470588,-2.301412,2.391304,1.882433,-0.901074,5.809524,214353,214353
237,1,-1,0,0,2.7,3.758621,6.588235,0.860886,1.956522,2.11203,0.308797,5,217358,217358
238,0,-1,0,0,2.466667,4.241379,6.117647,0.158153,1.652174,1.752725,-1.584579,6.238095,137075,49258
239,0,-1,1,1,2.866667,3.172414,5.176471,-1.247313,1.73913,2.041096,-0.064994,4.714286,138353,304328
240,0,-1,0,0,2.9,3.448276,6.117647,0.158153,2.391304,1.784629,-1.416458,5.428571,139957,582950
241,0,-1,0,0,2.633333,3.517241,6.647059,0.948728,2.2,2.280853,1.198417,3.952381,145829,X23560
242,0,-1,1,1,2.566667,2.931034,5.117647,-1.335154,3.066667,1.858261,-1.028452,4.333333,148425,117420
243,0,-1,0,0,2.4,3.551724,5.882353,-0.193213,4.533333,2.427099,1.969068,5.238095,165210,107566
244,0,-1,0,0,2.866667,3.517241,7.117647,1.651461,2.866667,2.313462,1.370251,4.142857,168329,J20918
245,0,-1,0,0,2.8,3.827586,5.882353,-0.193213,2.266667,1.966013,-0.460647,5.809524,181454,J36533
246,0,-1,0,0,3,3.62069,5.882353,-0.193213,2,1.887395,-0.874929,5.190476,186959,K08941
247,0,-1,1,0,3.2,2.758621,6.058824,0.070311,2.2,2.030331,-0.121721,4.333333,188275,123735
248,0,-1,0,0,1.533333,3.655172,6.941176,1.387936,3.133333,2.105628,0.27506,5.47619,189260,125842
249,0,-1,0,0,2.366667,3.689655,6.882353,1.300094,3.8,2.210475,0.827558,5.333333,189732,I05362
250,0,-1,0,0,2.633333,4.793103,4.764706,-1.862204,3,1.92013,-0.70243,5.619048,191533,125334
251,0,-1,0,0,2.5,2.724138,6.470588,0.685203,3.133333,1.891252,-0.854604,5.142857,191627,361209
252,0,-1,0,0,2.1,3.068966,6.529412,0.773044,2.866667,2.218698,0.87089,6.095238,193062,S22926
253,0,-1,0,0,2.533333,3.689655,5.882353,-0.193213,3.466667,2.31952,1.402178,4.428571,198421,C03329
254,0,-1,0,0,2.933333,3.275862,6.235294,0.333836,1.733333,1.86332,-1.001791,5.666667,250879,648699
255,0,-1,0,0,2.633333,3.896552,6.117647,0.158153,2.133333,2.170487,0.616838,4.428571,262009,364094
256,0,-1,0,0,3.033333,3.62069,5.647059,-0.54458,1.866667,2.068493,0.079377,5.809524,284760,B02227
257,0,-1,0,0,2.833333,4,6.294118,0.421678,2,2.038462,-0.078876,4.428571,293999,705765
258,0,-1,0,0,2.2,3.517241,6.941176,1.387936,4.666667,2.284001,1.215005,4.285714,297995,981420
259,1,1,1,0,2.933333,3.862069,2.705882,1.002231,1.619048,2.26414,1.718928,6.095238,121965,121965
260,1,1,0,0,2.033333,2.758621,1.882353,-0.158813,2,2.245601,1.617424,6.333333,122551,122551
261,1,1,0,0,3.466667,4.206897,1.647059,-0.49054,1.952381,1.928187,-0.120457,6.952381,122787,122787
