stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
247,0,-1,1,0,3.2,2.76,6.06,0.07,2.2,2.03,-0.12,4.33,188275,123735
248,0,-1,0,0,1.53,3.66,6.94,1.39,3.13,2.11,0.28,5.48,189260,125842
249,0,-1,0,0,2.37,3.69,6.88,1.3,3.8,2.21,0.83,5.33,189732,I05362
250,0,-1,0,0,2.63,4.79,4.76,-1.86,3,1.92,-0.7,5.62,191533,125334
251,0,-1,0,0,2.5,2.72,6.47,0.69,3.13,1.89,-0.85,5.14,191627,361209
252,0,-1,0,0,2.1,3.07,6.53,0.77,2.87,2.22,0.87,6.1,193062,S22926
253,0,-1,0,0,2.53,3.69,5.88,-0.19,3.47,2.32,1.4,4.43,198421,C03329
254,0,-1,0,0,2.93,3.28,6.24,0.33,1.73,1.86,-1,5.67,250879,648699
255,0,-1,0,0,2.63,3.9,6.12,0.16,2.13,2.17,0.62,4.43,262009,364094
256,0,-1,0,0,3.03,3.62,5.65,-0.54,1.87,2.07,0.08,5.81,284760,B02227
257,0,-1,0,0,2.83,4,6.29,0.42,2,2.04,-0.08,4.43,293999,705765
258,0,-1,0,0,2.2,3.52,6.94,1.39,4.67,2.28,1.22,4.29,297995,981420
259,1,1,1,0,2.93,3.86,2.71,1,1.62,2.26,1.72,6.1,121965,121965
260,1,1,0,0,2.03,2.76,1.88,-0.16,2,2.25,1.62,6.33,122551,122551
261,1,1,0,0,3.47,4.21,1.65,-0.49,1.95,1.93,-0.12,6.95,122787,122787
262,1,1,0,0,2.23,3.1,1.71,-0.41,1.86,1.98,0.14,5.67,122995,122995
263,1,1,0,0,1.8,2.76,1.47,-0.74,2,2.08,0.73,6.52,123096,123096
264,1,1,0,0,1.9,2.59,3.29,1.83,1.81,2.38,2.38,4.81,123101,123101
265,1,1,0,0,2.1,2.72,1.59,-0.57,1.81,2.11,0.89,5.1,123846,123846
266,1,1,0,0,2.93,3.55,1.59,-0.57,1.81,2.18,1.26,5.19,123847,123847
267,1,1,0,0,1.93,2.41,1.65,-0.49,1.67,1.96,0.08,5.33,124052,124052
268,1,1,0,0,2.4,3.41,1.53,-0.66,1.76,2.04,0.52,6.62,124346,124346
269,1,1,0,0,2.97,3.86,1.18,-1.15,2.26,2.09,0.77,6.05,124400,124400
270,1,1,0,0,2.37,3.17,1.71,-0.41,1.95,1.96,0.05,5.9,124439,124439
271,1,1,0,0,2.03,2.86,1.53,-0.66,1.58,1.99,0.24,7.19,124460,124460
272,1,1,0,0,2.2,2.93,1.59,-0.57,1.95,1.98,0.16,7,124639,124639
273,1,1,0,0,2.53,3.34,1.59,-0.57,2.32,2.25,1.66,6.33,124849,124849
274,1,1,0,0,3.03,3.83,1.47,-0.74,2.05,1.94,-0.05,6.95,127513,127513
275,1,1,0,1,1.8,2.34,2.82,1.17,2.16,2.16,1.17,5.86,128135,128135
276,1,1,1,0,1.97,2.9,1.41,-0.82,2.84,2.14,1.02,7.05,129232,129232
277,1,1,0,0,1.67,2.48,1.88,-0.16,1.74,2.36,2.22,3.29,130930,130930
278,1,1,0,0,2.2,2.9,1.41,-0.82,1.95,2.03,0.45,6.05,132254,132254
279,1,1,0,0,1.47,2.17,1.76,-0.32,2.05,1.9,-0.29,7.43,133897,133897
280,1,1,0,0,1.83,2.41,5.71,5.23,2,2.08,0.73,5.71,135769,135769
281,1,1,0,0,2.3,3.21,3.41,2,1.68,1.99,0.2,4.81,135556,135556
282,1,1,1,0,3.17,3.97,2.53,0.75,1.68,1.93,-0.12,4.52,135997,135997
283,1,1,0,0,2.97,2.9,1.47,-0.74,2.05,2.04,0.47,4.67,145267,145267
284,1,1,0,0,2.7,3.07,1.71,-0.41,2.26,2.2,1.38,5.95,166224,166224
285,1,1,0,0,2.27,2.62,2,0.01,1.84,1.77,-0.96,5.33,180632,180632
286,1,1,0,0,2.4,3.31,2,0.01,1.95,1.87,-0.42,6.52,182543,182543
287,1,1,0,1,1.87,2.45,1.41,-0.82,1.47,1.94,-0.07,6.05,185563,185563
288,1,1,0,0,2.07,3.38,1.65,-0.49,1.58,1.81,-0.77,6.57,188854,188854
289,1,1,0,0,1.83,2.55,1.65,-0.49,2.26,2.17,1.2,5.19,189262,189262
290,1,1,0,0,2.2,2.79,2.35,0.5,2.05,1.86,-0.49,7.1,197598,197598
291,1,1,0,0,3.3,3.76,2.24,0.34,1.47,1.81,-0.78,4.9,200754,200754
292,0,1,0,0,3.33,3.07,2.29,0.42,2.47,1.9,-0.26,4.52,118384,726351
293,0,1,0,0,2.37,3.97,1.41,-0.82,2.05,1.96,0.07,5.29,118675,140883
294,0,1,0,0,2.47,2.59,1.53,-0.66,2.74,1.85,-0.57,6.38,120691,42451
295,0,1,0,0,2.33,4.14,1.53,-0.66,3.16,1.8,-0.85,6.76,121338,114474
296,0,1,0,0,2.53,2.52,2.47,0.67,2.32,1.77,-0.97,6,122653,K77419
297,0,1,0,0,2.53,3,1.53,-0.66,1.68,1.81,-0.77,7.14,122831,E13011
298,0,1,0,0,1.73,3.38,3.59,2.25,2.74,2.26,1.71,5.14,124330,983369
299,0,1,0,0,2.77,3.66,1.76,-0.32,2.26,1.93,-0.12,5.38,124489,103884
300,0,1,0,0,2.57,3.03,1.29,-0.99,2.89,2.2,1.39,6.57,124869,767816
301,0,1,0,0,2.83,3.24,1.71,-0.41,1.74,1.83,-0.66,7.43,125128,73644
302,0,1,0,0,2.37,2.93,1.47,-0.74,1.58,1.81,-0.76,7.33,126382,166143
303,0,1,0,0,2.07,3.34,1.71,-0.41,1.68,2.17,1.22,5.76,126913,x12536
